Date,Open,High,Low,Close,Adj Close,Volume
2016-03-16,168.190002,174.860001,167.309998,173.979996,171.045303,31700
2016-03-17,173.279999,174.330002,172.050003,173.440002,170.514404,27900
2016-03-18,174.119995,174.500000,171.000000,171.149994,168.263016,72600
2016-03-21,170.809998,171.399994,163.589996,166.800003,163.986435,62400
2016-03-22,166.240005,166.990005,164.479996,164.490005,161.715378,41800
2016-03-23,165.000000,166.130005,161.300003,162.270004,159.532822,50900
2016-03-24,162.160004,163.440002,158.000000,159.250000,156.563751,27300
2016-03-28,160.000000,160.600006,156.259995,156.369995,153.732330,33600
2016-03-29,156.309998,164.990005,156.250000,164.619995,161.843155,99600
2016-03-30,164.009995,164.690002,161.050003,163.740005,160.978012,69100
2016-03-31,163.500000,163.990005,159.270004,159.759995,157.065155,29700
2016-04-01,158.759995,162.979996,158.020004,162.690002,159.945724,118100
2016-04-04,163.119995,166.970001,159.130005,163.699997,160.938705,64400
2016-04-05,162.789993,163.100006,160.600006,161.000000,158.284256,26200
2016-04-06,161.589996,163.979996,160.619995,163.139999,160.388123,84300
2016-04-07,163.300003,164.669998,161.619995,163.460007,160.702759,59900
2016-04-08,163.929993,166.419998,162.289993,165.910004,163.111404,76000
2016-04-11,164.910004,165.509995,160.160004,162.970001,160.221008,68700
2016-04-12,162.449997,164.440002,161.270004,163.639999,160.879715,52600
2016-04-13,163.229996,164.699997,162.190002,163.699997,160.938705,70900
2016-04-14,164.000000,164.649994,162.009995,163.169998,160.417664,81700
2016-04-15,162.770004,163.940002,161.250000,161.580002,158.854431,37300
2016-04-18,160.809998,163.089996,160.169998,162.449997,159.709778,72400
2016-04-19,163.389999,167.419998,160.960007,166.619995,163.809448,77700
2016-04-20,166.320007,166.990005,163.710007,164.419998,161.646530,96200
2016-04-21,163.770004,165.619995,157.699997,159.500000,156.809525,201600
2016-04-22,159.660004,161.529999,158.100006,160.919998,158.205582,101400
2016-04-25,158.940002,162.610001,158.199997,162.300003,159.562332,51100
2016-04-26,161.949997,163.520004,159.630005,160.940002,158.225266,105800
2016-04-27,161.000000,162.440002,159.660004,160.419998,157.959381,84200
2016-04-28,159.779999,161.899994,157.550003,158.250000,155.822662,93800
2016-04-29,159.020004,159.850006,157.529999,159.369995,156.925491,31800
2016-05-02,159.100006,164.509995,158.500000,164.360001,161.838959,61500
2016-05-03,163.339996,164.460007,160.550003,161.550003,159.072052,65300
2016-05-04,161.300003,164.710007,159.970001,164.000000,161.484467,53400
2016-05-05,163.570007,166.050003,163.000000,165.570007,163.030396,33500
2016-05-06,165.789993,165.809998,163.679993,165.720001,163.178085,26700
2016-05-09,166.320007,167.369995,164.570007,165.699997,163.158401,59000
2016-05-10,165.809998,167.940002,165.119995,166.990005,164.428604,32700
2016-05-11,165.309998,165.309998,144.589996,146.179993,143.937820,317600
2016-05-12,148.110001,151.279999,147.220001,149.270004,146.980408,119600
2016-05-13,148.860001,150.979996,147.500000,148.729996,146.448685,48000
2016-05-16,148.860001,149.500000,137.500000,138.720001,136.592255,416300
2016-05-17,138.070007,138.660004,131.509995,133.259995,131.215973,359300
2016-05-18,133.979996,135.690002,129.000000,134.089996,132.033249,269800
2016-05-19,134.080002,134.160004,125.709999,126.599998,124.658142,306300
2016-05-20,126.650002,129.259995,123.889999,128.699997,126.725922,201900
2016-05-23,129.559998,132.500000,128.050003,128.550003,126.578224,241800
2016-05-24,129.729996,131.000000,126.910004,128.050003,126.085899,207700
2016-05-25,128.919998,128.919998,125.529999,125.820000,123.890114,76900
2016-05-26,125.889999,125.889999,122.879997,123.190002,121.300438,84000
2016-05-27,122.760002,127.669998,122.500000,126.959999,125.012611,137700
2016-05-31,128.320007,128.320007,123.500000,123.500000,121.605698,163100
2016-06-01,123.279999,126.250000,123.010002,124.919998,123.003906,269700
2016-06-02,125.669998,125.699997,123.519997,124.559998,122.649422,84500
2016-06-03,124.540001,125.779999,123.459999,124.269997,122.363869,59700
2016-06-06,124.099998,127.660004,123.989998,125.959999,124.027962,118300
2016-06-07,126.470001,126.760002,123.360001,123.830002,121.930626,134800
2016-06-08,123.660004,124.949997,123.040001,124.279999,122.373726,100300
2016-06-09,124.239998,124.739998,121.250000,121.779999,119.912079,95300
2016-06-10,121.209999,122.120003,119.800003,121.910004,120.040085,70600
2016-06-13,122.300003,125.940002,120.500000,124.250000,122.344185,122400
2016-06-14,124.489998,128.960007,123.010002,127.279999,125.327705,142800
2016-06-15,128.660004,133.960007,127.330002,132.350006,130.319962,180900
2016-06-16,131.380005,140.720001,130.000000,140.529999,138.374481,238700
2016-06-17,140.070007,141.509995,139.130005,140.529999,138.374481,200800
2016-06-20,141.789993,143.270004,139.149994,142.410004,140.225647,105000
2016-06-21,143.119995,143.119995,139.759995,141.100006,138.935715,64800
2016-06-22,140.880005,140.880005,139.000000,140.250000,138.098785,67000
